258,14.3,-52.7
259,14.4,-52.6
260,14.4,-52.7
261,14.4,-52.5
262,14.3,-52.5
263,14.3,-52.4
264,14.3,-52.3
265,14.3,-52.1
266,14.3,-52
267,14.2,-52
268,14.2,-51.9
269,14.2,-51.8
270,14.2,-51.6
271,14.2,-51.5
272,14.3,-51.4
273,14.4,-51.3
274,14.5,-51.1
275,14.6,-51
276,14.6,-50.9
277,14.4,-50.8
278,14.9,-50.7
279,14.9,-50.6
280,14.9,-50.5
281,14.7,-50.4
282,14.9,-50.2
283,15,-50.2
284,15,-50.2
285,14.8,-50
286,14.5,-49.9
287,14,-49.8
288,15.3,-49.8
289,14,-49.7
290,15.3,-49.6
291,15.4,-49.6
292,15.3,-49.6
293,15.4,-49.4
294,15.1,-49.4
295,15.699,-49.4
296,15.5,-49.3
297,15.4,-49.3
298,15.5,-49.2
299,16.2,-49.1
300,15.5,-49.1
301,15.5,-49
302,15.699,-48.9
303,15.699,-48.8
304,15.9,-48.7
305,16.5,-48.7
306,16.6,-48.6
307,16.9,-48.6
308,17.2,-48.6
309,16.4,-48.8
310,16.5,-48.1
311,15.9,-48.4
312,16.1,-48.4
313,16.1,-48.3
314,16.2,-48.3
315,16.299,-48.3
316,16.4,-9.7
317,16.5,-21.5
318,16.7,8.9
319,40.2,23
320,32.5,19.3
321,31.8,15.4
322,31.899,13.3
323,32.099,10.5
324,32.3,7.8
325,32.599,5.6
326,32.599,4.8
327,33.5,4.7
328,33.7,5.5
329,33.9,6.9
330,34.2,10.2
331,34.5,11.6
332,34.8,12.7
333,34.9,14.1
334,35.2,13.8
335,35.4,13.3
336,35.6,12.6
337,35.9,10.3
338,36.1,10.6
339,36.3,10
340,36.5,9.6
341,36.7,10.4
342,37,12.3
343,37.6,11.6
344,37.8,11.5
345,42.8,12.1
346,60.3,11.8
347,72.5,11.2
348,68.7,9.8
349,62.7,8.2
350,62.6,7
351,66,8
352,72.7,8.4
353,71.1,6.6
354,73.7,5.4
355,76,4.7
356,75.7,5.2
357,75.8,7.1
358,79.8,10.2
359,78.7,13.3
360,78.2,16.2
361,79.9,14.3
362,75.9,13.7
363,75.5,12.4
364,76.2,11.7
365,76.7,9.9
366,78.3,10.7
367,82.6,11.5
368,80.8,12.9
369,84.1,12.4
370,85.9,12.7
371,88.9,12.1
372,83.1,11.1
373,82.6,11.2
374,84.1,12.1
375,82.7,-37.4
376,81.3,-37.5
377,80.3,-37.6
378,79,-37.8
379,79.6,-38.1
380,82.6,-38.4
381,79,-38.8
382,78.5,-39.1
383,79,-39.4
384,75.9,-39.6
385,76,-39.9
386,74.6,-40.1
387,74.7,-40.3
388,77,-40.5
389,79,-40.7
390,79.5,-40.8
391,78.7,-40.9
392,78.8,-41
393,78.9,-41.1
394,77.6,-41.2
